Begining new Simulation proba.log

*Task: Task Zones double zone
*Population size: 20
*Controller: Sigmoid Neural Network. k=0.5, 5 input layers, 4 hidden layers, 1 output layers.
*Individual type: differential


<Begining Data>
iterations,robots,Fitness
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
200,1,0.00365623
200,2,0.056065
200,3,0.274191
200,4,0.148151
200,5,0.363717
200,6,0
200,7,0
200,8,0.0207559
200,9,0.125318
200,10,0
200,11,0.0262726
200,12,0.69135
200,13,0.23308
200,14,0.0798909
200,15,0.796348
200,16,0.540896
200,17,0
200,18,0.00795293
200,19,0.78688
200,20,0.0798405
400,1,0.2008
400,2,0.601486
400,3,0.104333
400,4,0.16689
400,5,0.275099
400,6,0.165947
400,7,0
400,8,0.0601745
400,9,0.559275
400,10,0.701516
400,11,0.0369576
400,12,0.332137
400,13,0
400,14,0.238819
400,15,0
400,16,0
400,17,0.0658008
400,18,0.306024
400,19,0.152201
400,20,0.0473828
600,1,0
600,2,0.0774128
600,3,0.12287
600,4,0.243096
600,5,0.341857
600,6,0
600,7,0
600,8,0.049565
600,9,0.24304
600,10,0.18165
600,11,0
600,12,0.120771
600,13,0.662518
600,14,0
600,15,0.861432
600,16,0.516405
600,17,0.0542225
600,18,0.275936
600,19,0.87748
600,20,0.0727355
800,1,0
800,2,0.20035
800,3,0.897398
800,4,0.0130179
800,5,0.977264
800,6,0
800,7,0.333842
800,8,0.596725
800,9,0
800,10,0.189235
800,11,0.129827
800,12,0
800,13,0.186822
800,14,0
800,15,0
800,16,0.745986
800,17,0.0827995
800,18,0.119788
800,19,0
800,20,0.0372848
1000,1,0.930854
1000,2,0.101105
1000,3,0
1000,4,0.18465
1000,5,0
1000,6,0
1000,7,0.417369
1000,8,0
1000,9,0
1000,10,0.674067
1000,11,0
1000,12,0
1000,13,0.186003
1000,14,0.92327
1000,15,0.0897392
1000,16,0
1000,17,0.0664459
1000,18,0.30527
1000,19,0
1000,20,0
1200,1,0
1200,2,0.328062
1200,3,0
1200,4,0
1200,5,0
1200,6,0.160382
1200,7,0
1200,8,0.446942
1200,9,0.257539
1200,10,0.414981
1200,11,0
1200,12,0.0361563
1200,13,0
1200,14,0
1200,15,0.755569
1200,16,0
1200,17,0.114943
1200,18,0.655165
1200,19,0.781623
1200,20,0.278022
1400,1,0
1400,2,0.814421
1400,3,0.296158
1400,4,0
1400,5,0.75325
1400,6,0.619545
1400,7,0
1400,8,0
1400,9,0.0776898
1400,10,0.256388
1400,11,0
1400,12,0
1400,13,0
1400,14,0.929636
1400,15,0.861889
1400,16,0.369018
1400,17,0
1400,18,0.866088
1400,19,0.763073
1400,20,0
1600,1,0.9801
1600,2,0.061047
1600,3,0
1600,4,0
1600,5,0
1600,6,0.572777
1600,7,0.479223
1600,8,0
1600,9,0.176776
1600,10,0.276293
1600,11,0
1600,12,0.993059
1600,13,0
1600,14,0.930207
1600,15,0.0302883
1600,16,0.341996
1600,17,0.671025
1600,18,0.993675
1600,19,0
1600,20,0.240265
1800,1,0
1800,2,0.930466
1800,3,0.224826
1800,4,0
1800,5,0.111834
1800,6,0
1800,7,0
1800,8,0
1800,9,0
1800,10,0.969375
1800,11,0.14249
1800,12,0
1800,13,0
1800,14,0
1800,15,0.131602
1800,16,0
1800,17,0
1800,18,0.804853
1800,19,0
1800,20,0
2000,1,0.934893
2000,2,0
